route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
1200882,12,882,,,3,,000000,FFFFFF
1200884,12,884,,,3,,000000,FFFFFF
1300081,13,SB81,,,3,,000000,FFFFFF
1300082,13,SB82,,,3,,000000,FFFFFF
1300760,13,760,,,3,,000000,FFFFFF
1300761,13,761,,,3,,000000,FFFFFF
1300762,13,762,,,3,,000000,FFFFFF
1300763,13,763,,,3,,000000,FFFFFF
1300764,13,764,,,3,,000000,FFFFFF
1300765,13,765,,,3,,000000,FFFFFF
1300766,13,766,,,3,,000000,FFFFFF
1300767,13,767,,,3,,000000,FFFFFF
1300768,13,768,,,3,,000000,FFFFFF
1300769,13,769,,,3,,000000,FFFFFF
1300770,13,770,,,3,,000000,FFFFFF
1300772,13,772,,,3,,000000,FFFFFF
1300774,13,774,,,3,,000000,FFFFFF
1300801,13,801,,,3,,000000,FFFFFF
1300802,13,802,,,3,,000000,FFFFFF
1300806,13,806,,,3,,000000,FFFFFF
1300807,13,807,,,3,,000000,FFFFFF
1300808,13,808,,,3,,000000,FFFFFF
1300809,13,809,,,3,,000000,FFFFFF
1300810,13,810,,,3,,000000,FFFFFF
1300814,13,814,,,3,,000000,FFFFFF
1300815,13,815,,,3,,000000,FFFFFF
1300819,13,819,,,3,,000000,FFFFFF
1300820,13,820,,,3,,000000,FFFFFF
1300821,13,821,,,3,,000000,FFFFFF
1300822,13,822,,,3,,000000,FFFFFF
1300823,13,823,,,3,,000000,FFFFFF
1300824,13,824,,,3,,000000,FFFFFF
1300825,13,825,,,3,,000000,FFFFFF
1300828,13,828,,,3,,000000,FFFFFF
1300829,13,829,,,3,,000000,FFFFFF
1300830,13,830,,,3,,000000,FFFFFF
1300831,13,831,,,3,,000000,FFFFFF
1300832,13,832,,,3,,000000,FFFFFF
1300833,13,833,,,3,,000000,FFFFFF
1300834,13,834,,,3,,000000,FFFFFF
1300835,13,835,,,3,,000000,FFFFFF
1300836,13,836,,,3,,000000,FFFFFF
1300837,13,837,,,3,,000000,FFFFFF
1300838,13,838,,,3,,000000,FFFFFF
1300839,13,839,,,3,,000000,FFFFFF
1300869,13,869,,,3,,000000,FFFFFF
1300885,13,885,,,3,,000000,FFFFFF
1300886,13,886,,,3,,000000,FFFFFF
1300891,13,891,,,3,,000000,FFFFFF
1300899,13,899,,,3,,000000,FFFFFF
1300984,13,984,,,3,,000000,FFFFFF
1300985,13,985,,,3,,000000,FFFFFF
1300986,13,986,,,3,,000000,FFFFFF
1400040,14,SB40,,,3,,000000,FFFFFF
1400267,14,267,,,3,,000000,FFFFFF
1400400,14,400,,,3,,000000,FFFFFF
1400419,14,419,,,3,,000000,FFFFFF
1400420,14,420,,,3,,000000,FFFFFF
1400421,14,421,,,3,,000000,FFFFFF
1400422,14,422,,,3,,000000,FFFFFF
1400423,14,423,,,3,,000000,FFFFFF
1400425,14,425,,,3,,000000,FFFFFF
1400440,14,440,,,3,,000000,FFFFFF
1400441,14,441,,,3,,000000,FFFFFF
1400442,14,442,,,3,,000000,FFFFFF
1400443,14,443,,,3,,000000,FFFFFF
1400444,14,444,,,3,,000000,FFFFFF
1400445,14,445,,,3,,000000,FFFFFF
1400448,14,448,,,3,,000000,FFFFFF
1400453,14,453,,,3,,000000,FFFFFF
1400454,14,454,,,3,,000000,FFFFFF
1400455,14,455,,,3,,000000,FFFFFF
1400456,14,456,,,3,,000000,FFFFFF
1400457,14,457,,,3,,000000,FFFFFF
1400485,14,N45,,,3,,000000,FFFFFF
1400486,14,N46,,,3,,000000,FFFFFF
1400487,14,N47,,,3,,000000,FFFFFF
1600240,16,240,,,3,,000000,FFFFFF
1600252,16,252,,,3,,000000,FFFFFF
1600258,16,258,,,3,,000000,FFFFFF
1600260,16,260,,,3,,000000,FFFFFF
1600261,16,261,,,3,,000000,FFFFFF
1600263,16,263,,,3,,000000,FFFFFF
1600264,16,264,,,3,,000000,FFFFFF
1600265,16,265,,,3,,000000,FFFFFF
1600266,16,266,,,3,,000000,FFFFFF
1600268,16,268,,,3,,000000,FFFFFF
1600270,16,270,,,3,,000000,FFFFFF
1600271,16,271,,,3,,000000,FFFFFF
1600273,16,BF,,,3,,000000,FFFFFF
1600274,16,X24,,,3,,000000,FFFFFF
1600278,16,278,,,3,,000000,FFFFFF
1600286,16,N26,,,3,,000000,FFFFFF
1600288,16,N28,,,3,,000000,FFFFFF
1700091,17,SB91,,,3,,000000,FFFFFF
1700092,17,SB92,,,3,,000000,FFFFFF
1700093,17,SB93,,,3,,000000,FFFFFF
1700905,17,905,,,3,,000000,FFFFFF
1700910,17,910,,,3,,000000,FFFFFF
1700911,17,911,,,3,,000000,FFFFFF
1700915,17,915,,,3,,000000,FFFFFF
1700920,17,920,,,3,,000000,FFFFFF
1700921,17,921,,,3,,000000,FFFFFF
1700922,17,922,,,3,,000000,FFFFFF
1700923,17,923,,,3,,000000,FFFFFF
1700924,17,924,,,3,,000000,FFFFFF
1700927,17,927,,,3,,000000,FFFFFF
1700930,17,930,,,3,,000000,FFFFFF
1700931,17,931,,,3,,000000,FFFFFF
1700933,17,933,,,3,,000000,FFFFFF
1700935,17,935,,,3,,000000,FFFFFF
1700937,17,937,,,3,,000000,FFFFFF
1700941,17,941,,,3,,000000,FFFFFF
1700944,17,944,,,3,,000000,FFFFFF
1700945,17,945,,,3,,000000,FFFFFF
1700949,17,949,,,3,,000000,FFFFFF
1700950,17,950,,,3,,000000,FFFFFF
1700955,17,955,,,3,,000000,FFFFFF
1700957,17,957,,,3,,000000,FFFFFF
1700960,17,960,,,3,,000000,FFFFFF
1700961,17,961,,,3,,000000,FFFFFF
1700962,17,962,,,3,,000000,FFFFFF
1700964,17,964,,,3,,000000,FFFFFF
1700965,17,965,,,3,,000000,FFFFFF
1700966,17,966,,,3,,000000,FFFFFF
1700967,17,967,,,3,,000000,FFFFFF
1700968,17,968,,,3,,000000,FFFFFF
1700969,17,969,,,3,,000000,FFFFFF
1700970,17,970,,,3,,000000,FFFFFF
1700971,17,971,,,3,,000000,FFFFFF
1700972,17,972,,,3,,000000,FFFFFF
1700974,17,974,,,3,,000000,FFFFFF
1700975,17,975,,,3,,000000,FFFFFF
1700976,17,976,,,3,,000000,FFFFFF
1700977,17,977,,,3,,000000,FFFFFF
1700978,17,978,,,3,,000000,FFFFFF
1700979,17,979,,,3,,000000,FFFFFF
1700980,17,980,,,3,,000000,FFFFFF
1700987,17,987,,,3,,000000,FFFFFF
1700988,17,988,,,3,,000000,FFFFFF
1700990,17,990,,,3,,000000,FFFFFF
1900379,19,BBO,,,3,,000000,FFFFFF
2200731,22,731,,,3,,000000,FFFFFF
2200732,22,732,,,3,,000000,FFFFFF
2200733,22,733,,,3,,000000,FFFFFF
2200735,22,735,,,3,,000000,FFFFFF
2200736,22,736,,,3,,000000,FFFFFF
2200737,22,737,,,3,,000000,FFFFFF
2200738,22,738,,,3,,000000,FFFFFF
2200860,22,860,,,3,,00BFFF,000000
2200865,22,865,,,3,,009999,FFFFFF
2200866,22,866,,,3,,FFFF21,000000
2200870,22,870,,,3,,003BD1,FFFFFF
2200871,22,871,,,3,,FF0000,000000
2200872,22,872,,,3,,4DFF00,000000
2200873,22,873,,,3,,801AFF,FFFFFF
2200874,22,874,,,3,,FF4000,000000
2200875,22,875,,,3,,33FFFF,000000
2200876,22,876,,,3,,00CC29,FFFFFF
2200877,22,877,,,3,,FF59FF,000000
2200878,22,878,,,3,,FF9900,000000
2300711,23,711,,,3,,FFFF00,000000
2300712,23,712,,,3,,008800,FFFFFF
2300713,23,713,,,3,,00FF00,000000
2300714,23,714,,,3,,0000FF,FFFFFF
2300717,23,717,,,3,,0088FF,FFFFFF
2300720,23,720,,,3,,008888,FFFFFF
2400701,24,701,,,3,,000000,FFFFFF
2400702,24,702,,,3,,000000,FFFFFF
2400703,24,703,,,3,,000000,FFFFFF
2400704,24,704,,,3,,000000,FFFFFF
2400705,24,705,,,3,,000000,FFFFFF
2400706,24,706,,,3,,000000,FFFFFF
2400707,24,707,,,3,,000000,FFFFFF
2400708,24,708,,,3,,000000,FFFFFF
2400709,24,709,,,3,,000000,FFFFFF
2400779,24,PHL,,,3,,000000,FFFFFF
2500256,25,256,,,3,,000000,FFFFFF
2800826,28,826,,,3,,000000,FFFFFF
2800827,28,827,,,3,,000000,FFFFFF
2800867,28,867,,,3,,000000,FFFFFF
2800868,28,868,,,3,,000000,FFFFFF
2800893,28,893,,,3,,000000,FFFFFF
2800896,28,896,,,3,,000000,FFFFFF
2800897,28,897,,,3,,000000,FFFFFF
2800898,28,898,,,3,,000000,FFFFFF
2900721,29,721,,,3,,000000,FFFFFF
2900723,29,723,,,3,,000000,FFFFFF
6000240,60,240,,,3,,000000,FFFFFF
6000671,60,671,,,3,,000000,FFFFFF
6001612,60,,NE12 RS,,3,,000000,FFFFFF
6001619,60,,NE19 RS,,3,,000000,FFFFFF
